GeneA,GeneB
ESR1,PGR
ESR1,PLAC1
ESR1,PLAC1
ESR1,PMAIP1
ESR1,PTMA
ESR1,RARA
ESR1,RET
ESR1,RUNX2
ESR1,SERPINB9
ESR1,SERPINE1
ESR1,SP1
ESR1,TAC3
ESR1,TERT
ESR1,TFF1
ESR1,TFF1
ESR1,TGFA
ESR1,TGFA
ESR1,TP53
ESR1,TYMS
ESR1,UGT1A4
ESR1,UGT2B15
ESR1,VEGFA
ESR1,VEGFA
ESR1,YWHAQ
ESR1,ZEB1
ESR1,ZFHX3
ESRRA,AHR
ESRRA,CYP19A1
ESRRA,CYP19A1
ESRRA,DAP3
ESRRA,NR2F1
ESRRA,NR2F6
ESRRA,NRIP1
ESRRA,PNRC1
ESRRA,SNAI1
ESRRA,SNAI2
ESRRG,NR0B1
ETS1,ABCB1
ETS1,ANGPT2
ETS1,ANPEP
ETS1,ATXN2
ETS1,BAX
ETS1,BMP4
ETS1,EMSY
ETS1,CA9
ETS1,CASP1
ETS1,CD6
ETS1,CD8A
ETS1,CDKN1A
ETS1,CDKN2A
ETS1,CHUK
ETS1,COL1A1
ETS1,CR1
ETS1,CSF2
ETS1,CSF3R
ETS1,CSNK2A1
ETS1,CSNK2B
ETS1,CTGF
ETS1,CTSB
ETS1,CXCR4
ETS1,DUSP6
ETS1,ECE1
ETS1,EGR1
ETS1,EGR1
ETS1,ERG
ETS1,F13A1
ETS1,FGFBP1
ETS1,FLI1
ETS1,FLT1
ETS1,FOXD1
ETS1,GP6
ETS1,GRPR
ETS1,HMOX1
ETS1,HPGD
ETS1,IGFBP1
ETS1,IL2
ETS1,IL2RB
ETS1,IL3
ETS1,IL5
ETS1,ITGB3
ETS1,LCK
ETS1,MDM2
ETS1,MGAT5
ETS1,MMP1
ETS1,MMP1
ETS1,MMP10
ETS1,MMP13
ETS1,MMP3
ETS1,MMP9
ETS1,MMP9
ETS1,MUC4
ETS1,MYB
ETS1,NDRG1
ETS1,NKX3-1
ETS1,PARP1
ETS1,PARP1
ETS1,PF4
ETS1,PF4
ETS1,PLAU
ETS1,PRL
ETS1,PRL
ETS1,PTHLH
ETS1,PTHLH
ETS1,RHOC
ETS1,SLC26A3
ETS1,SPRY2
ETS1,SQSTM1
ETS1,TAF12
ETS1,TBXA2R
ETS1,TBXAS1
ETS1,TERT
ETS1,TFAP2A
ETS1,TGFBR2
ETS1,TGFBR2
ETS1,TMEM158
ETS1,TNC
ETS1,TNC
ETS1,TNFSF14
ETS1,TP53
ETS1,VWF
ETS1,WAS
ETS1,WT1
ETV3,MMP1
ETV3,NFKB1
ETV3,RELA
ETV7,ETS1
ETV7,ETS2
ETV7,ETV6
EVX1,GSC
EWSR1,ATF1
EWSR1,CCK
EWSR1,EGR2
EWSR1,MITF
EWSR1,NR0B1
EWSR1,PHLDA1
EWSR1,POU4F1
EWSR1,TERT
EWSR1,TGFBR2
EZH2,ADAMTS1
EZH2,ADRB2
EZH2,ALDH1A1
EZH2,APC
EZH2,AXL
EZH2,BRCA1
EZH2,CCND1
EZH2,CCNE1
EZH2,CDH1
EZH2,CDKN1A
EZH2,CDKN1A
EZH2,CDKN2A
EZH2,CDKN2B
EZH2,CIITA
EZH2,CPEB1
EZH2,DACT3
EZH2,FBXO32
EZH2,FBXO32
EZH2,FOXC1
EZH2,HDAC1
EZH2,HOXB13
EZH2,IGFBP1
EZH2,KPNB1
EZH2,MMP2
EZH2,MST1
EZH2,MYC
EZH2,PAX8
EZH2,PCNA
EZH2,PEBP1
EZH2,PIP5K1C
EZH2,POLR3D
EZH2,PRL
EZH2,PTEN
EZH2,RPLP0
EZH2,RUNX3
EZH2,SATB1
EZH2,SFRP1
EZH2,SNAI2
EZH2,SSTR1
EZH2,TP53
EZH2,TP53
EZH2,TWIST1
EZH2,VDR
FLI1,CCK
FLI1,COL1A2
FLI1,CTGF
FLI1,EP300
FLI1,ERG
FLI1,EYA3
FLI1,FLI1
FLI1,FOXM1
FLI1,GATA1
FLI1,GP6
FLI1,GP9
FLI1,HDAC1
FLI1,HMOX1
FLI1,ID2
FLI1,IGFBP3
FLI1,IL10
FLI1,ITGA2B
FLI1,MMP1
FLI1,MPL
FLI1,PF4
FLI1,PHLDA1
FLI1,TERT
FLI1,TERT
