Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
PUSL1,NA,0.50310702439434,0.287089054037032,0.294240869236625,0.383085377858019,0.461172691774783
INTS11,NA,0.438107938500157,0.185472230938186,0.248488176398437,0.272730564070382,0.451717916535927
MIR6727,NA,0.188643130582731,0,0.0257707173635641,0,0
RP5-890O3.9,NA,0.426467111174162,0.186116233981179,0.352441810021362,0.36821865985719,0.547926419823143
CPTP,NA,0.608657953728376,0.268409254324747,0.322790139691548,0.324015239508197,0.366884490123927
TAS1R3,NA,0.146695892190291,0.13985387238188,0.279006332196785,0.229651278165647,0.15796395518753
DVL1,NA,0.512964148527529,0.237003841229193,0.301272059232868,0.352100364424308,0.450184058898848
MXRA8,NA,0.342111415559275,0.290546416915265,0.305063295085084,0.265346057811901,0.37250427837992
AURKAIP1,NA,0.501619207146845,0.224769681742044,0.308440754497123,0.332883553570321,0.394514237855946
NDUFB4P8,NA,0.0877931945820945,0.327593326726131,0.479871631506914,0.266638713120378,0.121531219028741
CCNL2,NA,0.341624061535627,0.299000506655612,0.298767696308114,0.396126216954369,0.584933904472387
RP4-758J18.2,NA,0.624316506155854,0.276664197269552,0.333771229529695,0.332418163908269,0.294647581754683
MRPL20,NA,0.5625,0.226460280373832,0.295879354290569,0.375268258913119,0.446378504672897
RP4-758J18.13,NA,0.580857419667366,0.379202325205878,0.368326409582667,0.447086661118633,0.284514774745681
ANKRD65,NA,0.506452240451333,0.379236106607872,0.51772966026257,0.449884356829432,0.513325984047727
RP4-758J18.7,NA,0.413149737720553,0.502985216976633,0.455375644860623,0.396683092248185,0.501907486886028
TMEM88B,NA,0.330095683133066,0.457498887405429,0.285890075656431,0.433204766849627,0.455829995549622
LINC01770,NA,0.343040406119229,0.493036976058174,0.389629583232668,0.391081049704223,0.209816834739658
VWA1,NA,0.274004683840749,0.301710792680506,0.37764803542737,0.381748287833311,0.371849323224705
ATAD3C,NA,0.460727350979126,0.311007101355713,0.365972436635136,0.393509552160295,0.368988056810846
ATAD3B,NA,0.492552676192783,0.299509566480988,0.37869865321638,0.442292555470686,0.617113707919593
ATAD3A,NA,0.560098006827442,0.265102962228829,0.315529797043995,0.342711155159123,0.460274198876776
TMEM240,NA,0.312065557965775,0.329579175704989,0.389269703543022,0.323925691084043,0.419884309472162
SSU72,NA,0.594065238200427,0.356748398497901,0.329527883205816,0.394538750403562,0.436547382372432
RP5-832C2.5,NA,0.300666337611056,0.484284304047384,0.375043482348517,0.282063938036297,0.230898321816387
