Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
RP11-13P5.2,NA,0.075913305775891,0.145704390570886,0.207145570327338,0.192863594447358,0.223595129035862
FNDC1,0.948300084293341,0.196403484124754,0.166254565889295,0.251868502388311,0.205867753114171,0.251418937903906
FNDC1-IT1,0,0,0,0.0666632295318622,0.0409070598748883,0.0844504021447721
RP11-125D12.2,0,0,0.1,0,0.0144067796610169,0
RP3-393E18.1,0,0,0.235127768313458,0.178913496119629,0.257478164462832,0.301328790459966
RP3-393E18.3,0.978713339640492,0.250473036896878,0.0838326500578156,0.0338812677388836,0.08179596341848,0
RP3-393E18.2,0.319283970707893,0.134011391375102,0.332323026851098,0.259470210650032,0.22861449399085,0.241903986981286
SOD2,0.546316657504123,0.141499450247389,0.256981858163826,0.287186006681609,0.242787103562018,0.225467289719626
HNRNPH1P1,0.0829763246899662,0.274520856820744,0.436878366528874,0.302520856820744,0.297294250281849,0.433010146561443
RNU4ATAC18P,0.546803472770324,0.419889502762431,0.333480662983425,0.281254932912392,0.275958958168903,0.425240726124704
WTAP,0.915254237288136,0.299278091650973,0.558752578244104,0.474988445327428,0.486620034077661,0.480091471616895
ACAT2,NA,0.444795081967213,0.335393442622951,0.265692896174863,0.274836506257712,0.249666666666667
TCP1,NA,0.379063301967494,0.427597186579223,0.45073863262486,0.390460881515657,0.385757057313944
SNORA20,0.187153367289191,0.254074702886248,0.328375778155065,0.319105409880735,0.266017237700279,0.211078098471986
SNORA29,0.1773606370876,0.0453924914675768,0.195312855517634,0.187313024059327,0.214199257725806,0.181626848691695
MRPL18,0.990433891356338,0.303553126067646,0.511188930645712,0.508964810386061,0.482139156636628,0.483498462589682
PNLDC1,0.283067619571193,0.114953271028037,0.321440351841671,0.264811760633641,0.221281948546883,0.118293018141836
RP1-249F5.3,0,0.387512899896801,0,0.0733111058188458,0.0528895768833849,0
MAS1,0.0920502092050209,0.244769874476987,0.120083682008368,0.0950627615062761,0.150727236501295,0.122175732217573
IGF2R,0.686988958116528,0.315119406414294,0.50465597167223,0.390070964586784,0.381626841276685,0.463988863510427
AIRN,NA,0.468167701863354,0.323844030365769,0.307602723363593,0.242749449008215,0.271273291925466
RP11-288H12.3,0.246175738171469,0.278489268350528,0.423811217834697,0.352701687813748,0.350897041871026,0.300041503616744
