GeneA,GeneB
CTCF,MYC
CTCF,MYC
CTCF,NANOG
CTCF,NF1
CTCF,PAX6
CTCF,PAX6
CTCF,PAX6
CTCF,PBXIP1
CTCF,PTPRG
CTCF,RAD21
CTCF,RARRES1
CTCF,RBL2
CTCF,SIX5
CTCF,SLC6A4
CTCF,TERT
CTCF,WT1
CTCFL,BAG1
CTNNB1,AR
CTNNB1,BIRC5
CTNNB1,CCND1
CTNNB1,CCND1
CTNNB1,CCND1
CTNNB1,CD44
CTNNB1,CHGA
CTNNB1,CLDN2
CTNNB1,FST
CTNNB1,GLCE
CTNNB1,GLI2
CTNNB1,JUN
CTNNB1,JUN
CTNNB1,MMP14
CTNNB1,MMP7
CTNNB1,MYC
CTNNB1,MYC
CTNNB1,NCOA2
CTNNB1,NRCAM
CTNNB1,PLD1
CTNNB1,PPARD
CTNNB1,PTGS2
CTNNB1,RB1
CTNNB1,STARD7
CTNNB1,TCF7
CTNNB1,VIM
DAXX,AIRE
DBP,ACKR1
DBP,ALDOB
DBP,CYP3A4
DBP,CYP7A1
DDB1,CDKN2A
DDB2,BCL2
DDB2,SOD2
DDB2,XPA
DDX5,H19
DDX5,IGF2
DEAF1,GDF5
DEAF1,HTR1A
DLX3,CGA
DMAP1,ATM
DMAP1,BAX
DMAP1,CDKN1A
DMAP1,DNMT1
DNMT1,BAG1
DNMT1,BIRC5
DNMT1,BMP2
DNMT1,CASP8
DNMT1,CDH1
DNMT1,CDH1
DNMT1,CDKN2A
DNMT1,CDKN2A
DNMT1,CDKN2B
DNMT1,CXCR4
DNMT1,EPCAM
DNMT1,ESR1
DNMT1,GAD1
DNMT1,HDAC1
DNMT1,IL3
DNMT1,IL32
DNMT1,KIR2DL3
DNMT1,MBD2
DNMT1,MGMT
DNMT1,MSH2
DNMT1,PROM1
DNMT1,RASSF1
DNMT1,RB1
DNMT1,RELN
DNMT1,RGS10
DNMT1,RUNX3
DNMT1,SFRP1
DNMT1,SFRP5
DNMT1,TERT
DNMT1,TIMP3
DNMT1,TNFRSF10B
DNMT1,TP53
DNMT1,VEGFA
DNMT3A,CDH6
DNMT3A,CDKN1A
DNMT3A,CDKN2A
DNMT3A,IGFBP3
DNMT3A,JUP
DNMT3A,POU5F1
DNMT3A,SETDB1
DNMT3A,SFRP1
DNMT3A,SFRP5
DR1,NR1I2
DR1,NR2C2
DR1,PTGS2
DR1,TBP
DR1,TBP
DRAP1,TBP
E2F1,ABCB1
E2F1,APAF1
E2F1,APAF1
E2F1,AR
E2F1,AR
E2F1,ASF1B
E2F1,ATAD2
E2F1,ATG5
E2F1,ATM
E2F1,ATM
E2F1,AURKA
E2F1,AURKB
E2F1,BBC3
E2F1,BCL2
E2F1,BIRC5
E2F1,BIRC5
E2F1,BIRC5
E2F1,BMI1
E2F1,BRCA1
E2F1,BRCA1
E2F1,CASP7
E2F1,CCL3
E2F1,CCNB1
E2F1,CCND1
E2F1,CCND1
E2F1,CCNE1
E2F1,CD2AP
E2F1,CDAN1
E2F1,CDC6
E2F1,CDCA7
E2F1,CDK1
E2F1,CDKN1A
E2F1,CDKN1A
E2F1,CDKN1C
E2F1,CDKN2A
E2F1,CHEK1
E2F1,CHEK2
E2F1,CREBBP
E2F1,CTNNBIP1
E2F1,CTSV
E2F1,CUX1
E2F1,DAPK2
E2F1,DBF4
E2F1,DDIT3
E2F1,DHFR
E2F1,DIRAS3
E2F1,DNMT1
E2F1,DOK1
E2F1,DRAM1
E2F1,DROSHA
E2F1,DUSP1
E2F1,E2F1
E2F1,E2F6
E2F1,ECT2
E2F1,ERCC1
E2F1,ERCC5
E2F1,ERICD
E2F1,ETV4
E2F1,FANCA
E2F1,FGFR1
E2F1,FHIT
E2F1,FLT1
E2F1,FMN2
E2F1,FOXM1
E2F1,FSHR
E2F1,FZD1
E2F1,FZD1
E2F1,GINS3
E2F1,H19
E2F1,HIC1
E2F1,HMGA1
E2F1,HSPA5
E2F1,IL1B
E2F1,IL23A
E2F1,IRF3
E2F1,ISYNA1
E2F1,KDR
E2F1,KIF2C
E2F1,KIF2C
E2F1,KIR3DL1
E2F1,LRBA
E2F1,MAP1LC3A
E2F1,MAP3K5
E2F1,MAP3K5
E2F1,MAPK8
E2F1,MCL1
E2F1,MCM5
E2F1,MCM8
E2F1,MCPH1
E2F1,MDM2
E2F1,MEFV
E2F1,MT1G
E2F1,MUC4
E2F1,MYB
E2F1,MYBL2
E2F1,MYC
E2F1,MYCN
E2F1,MYH10
E2F1,NELL2
E2F1,NOX4
E2F1,NPAT
E2F1,NRIP1
E2F1,PCNA
E2F1,PCSK6
E2F1,PDK4
E2F1,PEG10
E2F1,PIN1
E2F1,PLK1
E2F1,PNRC2
E2F1,PPARG
E2F1,PPARG
E2F1,PPP1R13B
E2F1,PTPRO
E2F1,RACGAP1
E2F1,RAD51
E2F1,RASGEF1B
E2F1,RASGRP1
E2F1,RB1
E2F1,RBM38
E2F1,RNF2
E2F1,RPA2
E2F1,RRM1
E2F1,RRM2
E2F1,RRP1B
E2F1,SERPINB5
E2F1,SERPINE1
E2F1,SIVA1
E2F1,SIVA1
E2F1,SKP2
E2F1,SKP2
E2F1,TERT
E2F1,TERT
E2F1,THBS1
E2F1,TLR3
E2F1,TNF
E2F1,TNFSF11
E2F1,TOP2A
E2F1,TP53
E2F1,TP53
E2F1,TP53
E2F1,TP53BP2
E2F1,TP53BP2
E2F1,TP53INP1
E2F1,TP73
E2F1,TP73
E2F1,TYMS
E2F1,TYMS
E2F1,UHRF1
E2F1,UHRF1
E2F1,ULK1
E2F1,VEGFA
E2F1,WWOX
E2F1,XRCC1
E2F1,ZNF350
E2F2,CUX1
E2F2,MAP3K5
E2F3,AURKA
E2F3,CCNA2
E2F3,CCNB1
E2F3,CDC6
E2F3,CDK1
E2F3,CDKN1A
E2F3,CUX1
E2F3,ERICD
E2F3,MAP3K5
E2F3,MAPK8
E2F3,PLK1
E2F3,TFE3
E2F3,VEGFA
E2F4,AR
E2F4,AURKB
E2F4,BIRC5
E2F4,BRCA1
E2F4,BRCA1
E2F4,BRCA1
E2F4,CCNB1
E2F4,CCND1
E2F4,CDK2
E2F4,CUX1
E2F4,DIRAS3
E2F4,HCFC1
E2F4,PCLAF
E2F4,LIN54
E2F4,LTBP4
E2F4,MAP3K5
E2F4,MCM10
E2F4,MYC
E2F4,PEG10
E2F4,PLK1
E2F4,PLK4
E2F4,PPARG
E2F4,RAD51
E2F4,RAD51
E2F4,TOPBP1
E2F4,TTK
E2F5,FSHR
E2F5,LOXL2
E2F5,MYC
E2F7,E2F1
E2F8,CCND1
E2F8,E2F1
EAF1,ELL
EAPP,ABCB1
EAPP,CDKN1A
EAPP,CDKN2A
EAPP,MAOB
EBF1,ATF5
EBF3,CDKN1A
ECD,GCGR
EGF,STAT1
EGR1,ABCB1
EGR1,ABCB1
EGR1,ACE
EGR1,ACE
EGR1,ACHE
EGR1,AKR1B1
EGR1,ALOX5
EGR1,ALOX5
EGR1,ALOX5
EGR1,AR
EGR1,ATF3
EGR1,ATF3
EGR1,BCAR1
EGR1,CACNA1H
EGR1,CCND1
EGR1,CCND1
EGR1,CCND2
EGR1,CD28
EGR1,CDK5R1
EGR1,CDKN1A
EGR1,CHGA
EGR1,CXCL8
EGR1,CXCL8
EGR1,CYP2B6
EGR1,DMRT1
EGR1,EAPP
EGR1,EGFR
EGR1,EP300
EGR1,EP300
EGR1,F3
EGR1,FAP
EGR1,FAP
EGR1,FAS
EGR1,FASLG
EGR1,FCER2
EGR1,FGF2
EGR1,FLT1
EGR1,FN1
EGR1,FN1
EGR1,GDF15
EGR1,GDF15
EGR1,GDNF
EGR1,GGPS1
EGR1,HIF1A
EGR1,HPSE
EGR1,HPSE
EGR1,HSD11B2
EGR1,HYAL1
EGR1,IFNG
EGR1,IGF2
EGR1,IGF2
EGR1,IL2
EGR1,IL2RB
EGR1,IL3
EGR1,IL6
EGR1,IMPDH2
EGR1,KLK3
EGR1,LDLR
EGR1,LDLR
EGR1,LHB
EGR1,LHB
EGR1,LMTK2
EGR1,LTB
EGR1,MMP14
EGR1,MYB
EGR1,NAB2
EGR1,NFKB1
EGR1,PCSK2
EGR1,PDGFB
EGR1,PDGFC
EGR1,PLAU
EGR1,PLAUR
EGR1,POR
EGR1,PPARG
EGR1,PSEN2
EGR1,PTEN
EGR1,PTEN
EGR1,PTGES
EGR1,PTGS2
EGR1,PTP4A1
EGR1,RBL2
EGR1,SLC4A2
EGR1,SLC4A2
EGR1,SLC9A3
EGR1,SOD1
EGR1,SOX18
EGR1,SPRY1
EGR1,STIM1
EGR1,STMN1
EGR1,SYN1
EGR1,SYN2
EGR1,TBXA2R
EGR1,TCF4
EGR1,TFPI2
EGR1,TGFBR2
EGR1,TH
EGR1,TMPO
EGR1,TNF
EGR1,TNFSF10
EGR1,TOE1
EGR1,TP53
EGR1,TP73
EGR1,UBE2S
EGR1,VEGFA
EGR1,VEGFA
EGR1,VEGFA
EGR1,WNT4
EGR1,WNT4
EGR3,CAT
EGR3,NAB2
EGR3,SPRY1
EHMT2,BIRC5
EHMT2,CDKN1A
EHMT2,RUNX3
EHMT2,SIAH1
ELF2,TEK
ELF2,VCP
ELF4,CXCL8
ELF4,CXCL8
ELF4,HBD
ELF4,MDM2
ELF4,MMP9
ELF4,TP53
ELK1,CITED2
ELK1,DAP3
ELK1,EIF2AK1
ELK1,ERBB2
ELK1,EZH2
ELK1,FOS
ELK1,FOSL1
ELK1,FUT4
ELK1,MCL1
ELK1,MECOM
ELK1,MUC4
ELK1,PDGFB
ELK1,PSEN1
ELK1,PTPRZ1
ELK1,SKP2
ELK1,SRF
ELK1,TLR9
ELK1,TNFRSF10B
ELK1,WISP2
ELK1,ZFP36
EN1,UTRN
ENO1,HSD3B2
ENO1,MYC
ENO1,MYC
ENO1,MYCN
ENO1,PTGS2
EP300,ABCB1
EP300,ALOX15
EP300,BIRC5
EP300,BIRC5
EP300,BRCA1
EP300,BRCA1
EP300,CA9
EP300,CCNB2
EP300,CCND1
EP300,CCNE1
EP300,CDKN1A
EP300,CDKN1A
EP300,CDKN2B
EP300,COL1A2
EP300,CRABP1
EP300,CREBBP
EP300,CXCL8
EP300,CYBB
EP300,CYP1B1
EP300,DNMT1
EP300,EIF2AK1
EP300,EPO
EP300,ERBB2
EP300,EZH2
EP300,GFAP
EP300,HINFP
EP300,IFNG
EP300,IGF1
EP300,IGFBP3
EP300,IL12B
EP300,IL5
EP300,IL6
EP300,KLK3
EP300,KRT16
EP300,LAMA3
EP300,MDM2
EP300,MGMT
EP300,MMP9
EP300,MYC
EP300,NFKB1
EP300,NR0B2
EP300,NR1H4
EP300,PARP1
EP300,PCNA
EP300,PTGS2
EP300,PTGS2
EP300,RAD51
EP300,RELA
EP300,RS1
EP300,S100A4
EP300,SLC9A2
EP300,TBXAS1
EP300,THBD
EP300,TP73
EP300,TRIM22
EP300,VCAM1
EP300,VEGFA
EP300,WT1
EP300,YY1
EP300,ZEB1
EPAS1,CA9
EPAS1,CCR7
EPAS1,COL10A1
EPAS1,FLT1
EPAS1,MMP14
EPAS1,MSC
EPAS1,PTPRZ1
EPAS1,SERPINE1
EPAS1,USF2
EPAS1,VEGFA
EPAS1,VEGFA
ERCC2,BAX
ERCC2,BCL2
ERCC2,CDKN1A
ERCC2,CPD
ERCC2,E2F1
ERCC2,LAMTOR5
ERCC2,TP53
ERCC2,XPA
ERF,ETS2
ERF,PRL
ERF,UTRN
ESRRA,AHR
ESRRA,CYP19A1
ESRRA,CYP19A1
ESRRA,DAP3
ESRRA,NR2F1
ESRRA,NR2F6
ESRRA,NRIP1
ESRRA,PNRC1
ESRRA,SNAI1
ESRRA,SNAI2
ESRRB,BCAS2
ETV1,AR
ETV1,CAT
ETV7,ETS1
ETV7,ETS2
ETV7,ETV6
EWSR1,ATF1
EWSR1,CCK
EWSR1,EGR2
EWSR1,MITF
EWSR1,NR0B1
EWSR1,PHLDA1
EWSR1,POU4F1
EWSR1,TERT
EWSR1,TGFBR2
FOS,ACTA1
FOS,BATF3
FOS,BCL2L1
FOS,CASP9
FOS,CCK
FOS,CCK
FOS,CCND1
FOS,CD40LG
FOS,CLU
FOS,CREM
FOS,CRP
FOS,CSTA
FOS,CXCL8
FOS,CYP1A2
FOS,DDIT3
FOS,ERCC4
FOS,EZR
FOS,FAS
FOS,FGFBP1
FOS,VEGFD
FOS,FMO4
FOS,FOS
FOS,FOXA1
FOS,GSTP1
FOS,HSPH1
FOS,IL1A
FOS,LRIG2
FOS,MELTF
FOS,MMP1
FOS,MMP1
FOS,MMP3
FOS,MMP7
FOS,MMP9
FOS,MMP9
FOS,MMP9
FOS,MYC
FOS,NEFL
FOS,NFKB1
FOS,NGF
FOS,NOS2
FOS,NOS2
FOS,NPPA
