GeneA,GeneB
HDAC1,MGMT
HDAC1,MICA
HDAC1,MICB
HDAC1,MMP28
HDAC1,MMP9
HDAC1,NFKB1
HDAC1,NOS3
HDAC1,PCNA
HDAC1,PCNA
HDAC1,PHB
HDAC1,POU5F1
HDAC1,PSIP1
HDAC1,PTGS2
HDAC1,RARB
HDAC1,RECK
HDAC1,RECK
HDAC1,RECK
HDAC1,RECQL4
HDAC1,RELN
HDAC1,RGS10
HDAC1,RHOB
HDAC1,RUNX3
HDAC1,RUNX3
HDAC1,RUNX3
HDAC1,SERPINB5
HDAC1,SFRP1
HDAC1,SMAD7
HDAC1,SNAI2
HDAC1,SP1
HDAC1,SPP1
HDAC1,STAT3
HDAC1,TERT
HDAC1,TFF1
HDAC1,TJP1
HDAC1,TNFRSF10A
HDAC1,TP53
HDAC1,TXNIP
HDAC10,TXNIP
HDAC11,IL10
HDAC11,MYC
HDAC11,TNF
HDAC11,TNFSF4
HDAC2,ALOX5
HDAC2,APAF1
HDAC2,BMP7
HDAC2,CAD
HDAC2,CCL2
HDAC2,CCNE1
HDAC2,CD1D
HDAC2,CDH1
HDAC2,CDKN1A
HDAC2,COL1A2
HDAC2,CXCL8
HDAC2,CXCL8
HDAC2,DEC1
HDAC2,DNMT1
HDAC2,GRM2
HDAC2,IGF1
HDAC2,KLF4
HDAC2,MUC5AC
HDAC2,MYC
HDAC2,MYCN
HDAC2,PHB
HDAC2,SNAI2
HDAC2,SP1
HDAC2,TGFBR2
HDAC2,TNFSF10
HDAC2,TP63
HDAC2,TWIST1
HDAC2,VEGFA
HDAC3,ALOX5
HDAC3,APOC3
HDAC3,CDH1
HDAC3,CDKN2A
HDAC3,CXCR4
HDAC3,EGFR
HDAC3,GAS2
HDAC3,GATA2
HDAC3,GCM1
HDAC3,GRHL1
HDAC3,GTF2I
HDAC3,JUN
HDAC3,LGALS9
HDAC3,LSS
HDAC3,MBD1
HDAC3,MMP2
HDAC3,MYC
HDAC3,PCK2
HDAC3,PRAM1
HDAC3,TLR9
HDAC3,TNF
HDAC3,ULBP1
HDAC3,VEGFA
HDAC4,ATF4
HDAC4,CA9
HDAC4,CDKN1A
HDAC4,CDKN2A
HDAC4,HDAC3
HDAC4,HOXB13
HDAC4,IL10
HDAC4,IL5
HDAC4,JUN
HDAC4,JUN
HDAC4,KLF4
HDAC4,MEF2A
HDAC4,MEF2A
HDAC4,MMP13
HDAC4,PTPA
HDAC4,PTGES
HDAC4,PTGS2
HDAC4,RECK
